iter	Passed	Remaining
0	1	1572
1	3	1531
2	4	1529
3	5	1489
4	7	1426
5	8	1398
6	9	1373
7	10	1354
8	12	1341
9	13	1322
10	14	1322
11	16	1317
12	17	1314
13	18	1324
14	20	1329
15	21	1335
16	22	1329
17	24	1322
18	25	1316
19	26	1310
20	28	1308
21	30	1337
22	31	1348
23	33	1359
24	34	1360
25	36	1361
26	37	1354
27	38	1345
28	40	1344
29	41	1343
30	42	1342
31	44	1342
32	45	1346
33	47	1343
34	48	1339
35	49	1336
36	51	1339
37	53	1349
38	54	1353
39	56	1351
40	57	1345
41	58	1343
42	60	1339
43	61	1333
44	62	1332
45	64	1337
46	66	1339
47	67	1334
48	68	1329
49	69	1325
50	70	1320
51	72	1315
52	73	1315
53	74	1312
54	76	1308
55	77	1311
56	79	1312
57	80	1313
58	82	1308
59	83	1304
60	84	1300
61	85	1296
62	86	1293
63	88	1290
64	89	1286
65	90	1283
66	91	1280
67	93	1285
68	95	1285
69	96	1284
70	97	1281
71	99	1278
72	100	1275
73	101	1273
74	102	1270
75	104	1267
76	105	1264
77	106	1261
78	108	1263
79	109	1264
80	111	1264
81	112	1262
82	113	1252
83	114	1249
84	115	1247
85	117	1245
86	118	1243
87	119	1240
88	120	1237
89	122	1235
90	123	1235
91	125	1237
92	126	1236
93	128	1235
94	129	1232
95	130	1229
96	131	1227
97	133	1224
98	134	1221
99	135	1218
100	136	1216
101	138	1216
102	140	1220
103	141	1220
104	143	1218
105	144	1218
106	145	1216
107	147	1214
108	148	1213
109	149	1210
110	150	1208
111	152	1207
112	154	1211
113	155	1209
114	156	1207
115	158	1204
116	159	1200
117	160	1199
118	161	1197
119	162	1194
120	164	1192
121	165	1190
122	166	1188
123	168	1188
124	169	1187
125	171	1187
126	172	1183
127	173	1181
128	174	1178
129	175	1176
130	177	1174
131	178	1172
132	179	1170
133	180	1168
134	182	1167
135	183	1167
136	185	1166
137	186	1165
138	187	1163
139	188	1160
140	190	1159
141	191	1155
142	192	1152
143	193	1150
144	194	1149
145	196	1147
146	197	1146
147	199	1146
148	200	1146
149	202	1144
150	203	1143
151	205	1143
152	206	1142
153	207	1140
154	209	1139
155	210	1138
156	211	1136
157	213	1137
158	214	1137
159	216	1136
160	217	1133
161	219	1135
